Adelidae,Adela ridingsella
Geometridae,Psamatodes abydata
Geometridae,Rheumaptera prunivorata
Geometridae,Rheumaptera undulata
Geometridae,Rindgea nigricomma
Geometridae,Scopula ancellata
Geometridae,Scopula cacuminaria
Geometridae,Scopula inductata
Geometridae,Scopula limboundata
Geometridae,Scopula ordinata
Geometridae,Scopula quadrilineata
Geometridae,Selenia kentaria
Geometridae,Sicya macularia
Geometridae,Stamnodes gibbicostata
Geometridae,Stenoporpia excelsaria
Geometridae,Stenoporpia polygrammaria
Geometridae,Stenoporpia pulmonaria
Geometridae,Synchlora aerata
Geometridae,Tetracis cachexiata
Geometridae,Tetracis crocallata
Geometridae,Timandra amaturaria
Geometridae,Tornos scolopacinaria
Geometridae,Trichodezia albovittata
Geometridae,Trigrammia quadrinotaria
Geometridae,Venusia comptaria
Geometridae,Xanthorhoe ferrugata
Geometridae,Xanthorhoe labradorensis
Geometridae,Xanthorhoe lacustrata
Geometridae,Xanthotype urticaria
Glyphipterigidae,Abrenthia cuprea
Glyphipterigidae,Acrolepiopsis incertella
Glyphipterigidae,Diploschizia impigritella
Glyphipterigidae,Glyphipterix circumscriptella
Glyphipterigidae,Glyphipterix quadragintapunctata
Gracillariidae,Acrocercops albinatella
Gracillariidae,Acrocercops astericola
Gracillariidae,Acrocercops pnosmodiella
Gracillariidae,Caloptilia azaleella
Gracillariidae,Caloptilia belfragella
Gracillariidae,Caloptilia bimaculatella
Gracillariidae,Caloptilia blandella
Gracillariidae,Caloptilia cornusella
Gracillariidae,Caloptilia fraxinella
Gracillariidae,Caloptilia murtfeldtella
Gracillariidae,Caloptilia negundella
Gracillariidae,Caloptilia ostryaeella
Gracillariidae,Caloptilia packardella
Gracillariidae,Caloptilia rhoifoliella
Gracillariidae,Caloptilia sassafrasella
Gracillariidae,Caloptilia stigmatella
Gracillariidae,Caloptilia superbifrontella
Gracillariidae,Caloptilia umbratella
Gracillariidae,Caloptilia violacella
Gracillariidae,Cameraria aceriella
Gracillariidae,Cameraria aesculisella
Gracillariidae,Cameraria australisella
Gracillariidae,Cameraria bethunella
Gracillariidae,Cameraria caryaefoliella
Gracillariidae,Cameraria cincinnatiella
Gracillariidae,Cameraria conglomeratella
Gracillariidae,Cameraria corylisella
Gracillariidae,Cameraria fletcherella
Gracillariidae,Cameraria guttifinitella
Gracillariidae,Cameraria hamadryadella
Gracillariidae,Cameraria hamameliella
Gracillariidae,Cameraria macrocarpella
Gracillariidae,Cameraria ostryarella
Gracillariidae,Cameraria platanoidiella
Gracillariidae,Cameraria quercivorella
Gracillariidae,Cameraria saccharella
Gracillariidae,Cameraria ulmella
Gracillariidae,Chrysaster ostensackenella
Gracillariidae,Cremastobombycia ambrosiaeella
Gracillariidae,Cremastobombycia ignota
Gracillariidae,Cremastobombycia solidaginis
Gracillariidae,Leucanthiza amphicarpeaefoliella
Gracillariidae,Leucospilapteryx venustella
Gracillariidae,Macrosaccus morrisella
Gracillariidae,Macrosaccus robiniella
Gracillariidae,Macrosaccus uhlerella
Gracillariidae,Marmara fasciella
Gracillariidae,Micrurapteryx occulta
Gracillariidae,Micrurapteryx salicifoliella
Gracillariidae,Neurobathra strigifinitella
Gracillariidae,Parectopa plantaginisella
Gracillariidae,Parectopa robiniella
Gracillariidae,Parornix obliterella
Gracillariidae,Phyllocnistis insignis
Gracillariidae,Phyllocnistis populiella
Gracillariidae,Phyllocnistis vitifoliella
Gracillariidae,Phyllonorycter aeriferella
Gracillariidae,Phyllonorycter albanotella
Gracillariidae,Phyllonorycter apparella
Gracillariidae,Phyllonorycter argentifimbriella
Gracillariidae,Phyllonorycter argentinotella
Gracillariidae,Phyllonorycter basistrigella
Gracillariidae,Phyllonorycter blancardella
Gracillariidae,Phyllonorycter celtifoliella
Gracillariidae,Phyllonorycter celtisella
Gracillariidae,Phyllonorycter clemensella
Gracillariidae,Phyllonorycter fitchella
Gracillariidae,Phyllonorycter hagenii
Gracillariidae,Phyllonorycter lucetiella
Gracillariidae,Phyllonorycter lucidicostella
Gracillariidae,Phyllonorycter mariaeella
Gracillariidae,Phyllonorycter martiella
Gracillariidae,Phyllonorycter obscuricostella
Gracillariidae,Phyllonorycter olivaeformis
Gracillariidae,Phyllonorycter ostryaefoliella
Gracillariidae,Phyllonorycter propinquinella
Gracillariidae,Phyllonorycter quercialbella
Gracillariidae,Phyllonorycter rileyella
Gracillariidae,Phyllonorycter salicifoliella
Gracillariidae,Phyllonorycter scudderella
Gracillariidae,Phyllonorycter symphoricarpaeella
Gracillariidae,Phyllonorycter tiliacella
Gracillariidae,Phyllonorycter tritaenianella
Gracillariidae,Phyllonorycter viburnella
Gracillariidae,Porphyrosela desmodiella
Gracillariidae,Povolnya quercinigrella
Heliodinidae,Aetole bella
Heliodinidae,Aetole tripunctella
Heliodinidae,Embola ionis
Heliodinidae,Neoheliodines cliffordi
Heliodinidae,Neoheliodines nyctaginella
Heliozelidae,Coptodisca juglandiella
Heliozelidae,Heliozela aesella
Hepialidae,Sthenopis argenteomaculatus
Incurvariidae,Paraclemensia acerifoliella
Lacturidae,Lactura pupula
Lasiocampidae,Artace cribrarius
Lasiocampidae,Heteropacha rileyana
Lasiocampidae,Malacosoma americana
Lasiocampidae,Malacosoma disstria
Lasiocampidae,Phyllodesma americana
Lasiocampidae,Tolype notialis
Lasiocampidae,Tolype velleda
Limacodidae,Acharia stimulea
Limacodidae,Adoneta spinuloides
Limacodidae,Apoda biguttata
Limacodidae,Apoda y-inversum
Limacodidae,Euclea delphinii
Limacodidae,Euclea nanina
Limacodidae,Heterogenea shurtleffi
Limacodidae,Isa textula
Limacodidae,Lithacodes fasciola
Limacodidae,Packardia albipunctata
Limacodidae,Packardia elegans
Limacodidae,Packardia geminata
Limacodidae,Parasa chloris
Limacodidae,Parasa indetermina
Limacodidae,Phobetron pithecium
Limacodidae,Prolimacodes badia
Limacodidae,Tortricidia flexuosa
Limacodidae,Tortricidia pallida
Limacodidae,Tortricidia testacea
Lyonetiidae,Paraleucoptera albella
Lyonetiidae,Proleucoptera smilaciella
Megalopygidae,Megalopyge crispata
Megalopygidae,Norape ovina
Micropterigidae,Epimartyria auricrinella
Mimallonidae,Cicinnus melsheimeri
Mimallonidae,Lacosoma chiridota
Momphidae,Mompha argentimaculella
Momphidae,Mompha brevivittella
Momphidae,Mompha capella
Momphidae,Mompha cephalonthiella
Momphidae,Mompha circumscriptella
Momphidae,Mompha eloisella
Momphidae,Mompha luciferella
Momphidae,Mompha murtfeldtella
Momphidae,Mompha passerella
Momphidae,Mompha stellella
Momphidae,Mompha terminella
Nepticulidae,Ectoedemia platanella(1).jpg
Nepticulidae,Etainia ochrefasciella
Nepticulidae,Stigmella macrocarpae
Nepticulidae,Stigmella prunifoliella
Nolidae,Baileya australis
Nolidae,Baileya dormitans
Nolidae,Baileya doubledayi
Nolidae,Baileya levitans
Nolidae,Baileya ophthalmica
Nolidae,Garella nilotica
Nolidae,Meganola minuscula
Nolidae,Meganola phylla
Nolidae,Meganola spodia
Nolidae,Nola cereella
Nolidae,Nola cilicoides
Nolidae,Nola triquetrana
Nolidae,Nycteola frigidana
Nolidae,Nycteola metaspilella
Notodontidae,Clostera albosigma
Notodontidae,Clostera apicalis
Notodontidae,Clostera inclusa
Notodontidae,Clostera strigosa
Notodontidae,Dasylophia anguina
Notodontidae,Dasylophia thyatiroides
Notodontidae,Datana angusii
Notodontidae,Datana contracta
Notodontidae,Datana drexelii
Notodontidae,Datana integerrima
Notodontidae,Datana major
Notodontidae,Datana ministra
Notodontidae,Datana perspicua
Notodontidae,Datana robusta
Notodontidae,Ellida caniplaga
Notodontidae,Furcula borealis
Notodontidae,Furcula cinerea
Notodontidae,Gluphisia avimacula
Notodontidae,Gluphisia lintneri
Notodontidae,Gluphisia septentrionis
Notodontidae,Heterocampa biundata
Notodontidae,Heterocampa guttivitta
Notodontidae,Heterocampa obliqua
Notodontidae,Heterocampa subrotata
Notodontidae,Heterocampa umbrata
Notodontidae,Hyparpax aurora
Notodontidae,Hyperaeschra georgica
Notodontidae,Litodonta gigantea
Notodontidae,Lochmaeus bilineata
Notodontidae,Lochmaeus manteo
Notodontidae,Macrurocampa marthesia
Notodontidae,Misogada unicolor
Notodontidae,Nadata gibbosa
Notodontidae,Nerice bidentata
Notodontidae,Notodonta scitipennis
Notodontidae,Notodonta torva
Notodontidae,Odontosia elegans
Notodontidae,Oligocentria lignicolor
Notodontidae,Oligocentria semirufescens
Notodontidae,Peridea angulosa
Notodontidae,Peridea basitriens
Notodontidae,Peridea ferruginea
Notodontidae,Pheosia rimosa
Notodontidae,Schizura apicalis
Notodontidae,Schizura badia
Notodontidae,Schizura concinna
Notodontidae,Schizura ipomaeae
Notodontidae,Schizura leptinoides
Notodontidae,Schizura unicornis
Notodontidae,Symmerista albifrons
Notodontidae,Symmerista canicosta
Oecophoridae,Carolana ascriptella
Oecophoridae,Decantha boreasella
Oecophoridae,Eido trimaculella
Oecophoridae,Epicallima argenticinctella
Oecophoridae,Fabiola shaleriella
Oecophoridae,Martyringa latipennis
Oecophoridae,Mathildana newmanella
Oecophoridae,Polix coloradella
Opostegidae,Pseudopostega cretea
Opostegidae,Pseudopostega quadristrigella
Plutellidae,Plutella xylostella
Praydidae,Prays atomocella
Prodoxidae,Lampronia russatella
Prodoxidae,Prodoxus quinquepunctella
Prodoxidae,Tegeticula yuccasella
Psychidae,Psyche casta
Psychidae,Siederia walshella
Psychidae,Thyridopteryx ephemeraeformis
Pterophoridae,Adaina ambrosiae
Pterophoridae,Adaina bipunctatus
Pterophoridae,Cnaemidophorus rhododactyla
Pterophoridae,Dejongia lobidactylus
Pterophoridae,Emmelina monodactyla
Pterophoridae,Geina buscki
Pterophoridae,Geina periscelidactylus
Pterophoridae,Geina sheppardi
Pterophoridae,Geina tenuidactylus
Pterophoridae,Gillmeria pallidactyla
Pterophoridae,Hellinsia elliottii
Pterophoridae,Hellinsia glenni
Pterophoridae,Hellinsia homodactylus
Pterophoridae,Hellinsia inquinatus
Pterophoridae,Hellinsia kellicottii
Pterophoridae,Hellinsia lacteodactylus
Pterophoridae,Hellinsia paleaceus
Pterophoridae,Hellinsia pectodactylus
Pterophoridae,Oidaematophorus eupatorii
Pterophoridae,Platyptilia carduidactylus
Pyralidae,Achroia grisella
Pyralidae,Acrobasis angusella
Pyralidae,Acrobasis caryae
Pyralidae,Acrobasis caryalbella
Pyralidae,Acrobasis caryivorella
Pyralidae,Acrobasis comptoniella
Pyralidae,Acrobasis demotella
Pyralidae,Acrobasis indigenella
Pyralidae,Acrobasis juglandis
Pyralidae,Acrobasis minimella
Pyralidae,Acrobasis ostryella
Pyralidae,Acrobasis palliolella
Pyralidae,Acrobasis rubrifasciella
Pyralidae,Acrobasis stigmella
Pyralidae,Acrobasis tricolorella
Pyralidae,Acrobasis tumidulella
Pyralidae,Acrobasis vaccinii
Pyralidae,Aglossa caprealis
Pyralidae,Aglossa costiferalis
Pyralidae,Aglossa cuprina
Pyralidae,Aglossa disciferalis
Pyralidae,Aphomia fulminalis
Pyralidae,Aphomia sociella
Pyralidae,Aphomia terrenella
Pyralidae,Arta statalis
Pyralidae,Canarsia ulmiarrosorella
Pyralidae,Clydonopteron sacculana
Pyralidae,Coenochroa bipunctella
Pyralidae,Condylolomia participalis
Pyralidae,Elasmopalpus lignosellus
Pyralidae,Ephestia kuehniella
Pyralidae,Ephestiodes infimella
Pyralidae,Epipaschia superatalis
Pyralidae,Eulogia ochrifrontella
Pyralidae,Eurythmia angulella
Pyralidae,Euzophera ostricolorella
Pyralidae,Euzophera semifuneralis
Pyralidae,Galasa nigrinodis
Pyralidae,Galleria mellonella
Pyralidae,Glyptocera consobrinella
Pyralidae,Homoeosoma deceptorium
Pyralidae,Hypsopygia binodulalis
Pyralidae,Hypsopygia costalis
Pyralidae,Hypsopygia intermedialis
Pyralidae,Hypsopygia olinalis
Pyralidae,Immyrla nigrovittella
Pyralidae,Macalla zelleri
Pyralidae,Meroptera cviatella
Pyralidae,Meroptera pravella
Pyralidae,Monoptilota pergratialis
Pyralidae,Moodna ostrinella
Pyralidae,Moodna pallidostrinella
Pyralidae,Myelopsis minutularia
Pyralidae,Myelopsis subtetricella
Pyralidae,Omphalocera cariosa
Pyralidae,Oneida lunulalis
Pyralidae,Oreana unicolorella
Pyralidae,Peoria approximella
Pyralidae,Peoria gemmatella
Pyralidae,Peoria roseotinctella
Pyralidae,Phycitodes reliquellum
Pyralidae,Plodia interpunctella
Pyralidae,Pococera aplastella
Pyralidae,Pococera asperatella
Pyralidae,Pococera baptisiella
Pyralidae,Pococera expandens
Pyralidae,Pococera humerella
Pyralidae,Pococera maritimalis
Pyralidae,Pococera militella
Pyralidae,Pococera scortealis
Pyralidae,Pococera subcanalis
Pyralidae,Pyralis farinalis
Pyralidae,Salebriaria engeli
Pyralidae,Salebriaria turpidella
Pyralidae,Sciota basilaris
Pyralidae,Sciota celtidella
Pyralidae,Sciota dammersi
Pyralidae,Sciota rubrisparsella
Pyralidae,Sciota subcaesiella
Pyralidae,Sciota subfuscella
Pyralidae,Sciota uvinella
Pyralidae,Sciota vetustella
Pyralidae,Sciota virgatella
Pyralidae,Tlascala reductella
Pyralidae,Tosale oviplagalis
Pyralidae,Varneria postremella
Pyralidae,Vitula broweri
Pyralidae,Vitula edmandsii
Pyralidae,Zophodia grossulariella
Saturniidae,Actias luna
Saturniidae,Anisota senatoria
Saturniidae,Anisota stigma
Saturniidae,Anisota virginiensis
Saturniidae,Antheraea polyphemus
Saturniidae,Automeris io
Saturniidae,Callosamia angulifera
Saturniidae,Callosamia promethea
Saturniidae,Citheronia regalis
Saturniidae,Dryocampa rubicunda
Saturniidae,Eacles imperialis
Saturniidae,Hemileuca maia
Saturniidae,Hemileuca nevadensis
Saturniidae,Hyalophora cecropia
Saturniidae,Sphingicampa bicolor
Saturniidae,Sphingicampa bisecta
Schreckensteiniidae,Schreckensteinia erythriella
Schreckensteiniidae,Schreckensteinia festaliella
Scythrididae,Scythris limbella
Scythrididae,Scythris trivinctella
Sesiidae,Albuna fraxini
Sesiidae,Alcathoe caudata
Sesiidae,Carmenta anthracipennis
Sesiidae,Carmenta bassiformis
Sesiidae,Carmenta ithacae
Sesiidae,Carmenta pyralidiformis
Sesiidae,Melittia cucurbitae
Sesiidae,Osminia ruficornis
Sesiidae,Paranthrene dollii
Sesiidae,Paranthrene simulans
Sesiidae,Paranthrene tabaniformis
Sesiidae,Pennisetia marginatum
Sesiidae,Podosesia syringae
Sesiidae,Synanthedon acerni
Sesiidae,Synanthedon acerrubri
Sesiidae,Synanthedon decipiens
Sesiidae,Synanthedon exitiosa
Sesiidae,Synanthedon fatifera
Sesiidae,Synanthedon pictipes
Sesiidae,Synanthedon proxima
Sesiidae,Synanthedon pyri
Sesiidae,Synanthedon rileyana
Sesiidae,Synanthedon scitula
Sesiidae,Synanthedon tipuliformis
Sesiidae,Synanthedon viburni
Sesiidae,Vitacea polistiformis
Sesiidae,Vitacea scepsiformis
Sphingidae,Aellopos titan
Sphingidae,Agrius cingulata
Sphingidae,Amorpha juglandis
Sphingidae,Amphion floridensis
Sphingidae,Ceratomia amyntor
Sphingidae,Ceratomia catalpae
Sphingidae,Ceratomia hageni
Sphingidae,Ceratomia undulosa
Sphingidae,Darapsa choerilus
Sphingidae,Darapsa myron
Sphingidae,Darapsa versicolor
Sphingidae,Deidamia inscripta
Sphingidae,Dolba hyloeus
Sphingidae,Erinnyis ello
Sphingidae,Erinnyis obscura
Sphingidae,Eumorpha achemon
Sphingidae,Eumorpha fasciatus
Sphingidae,Eumorpha labruscae
Sphingidae,Eumorpha pandorus
Sphingidae,Hemaris diffinis
Sphingidae,Hemaris gracilis
Sphingidae,Hemaris thysbe
Sphingidae,Hyles euphorbiae
Sphingidae,Hyles gallii
Sphingidae,Hyles lineata
Sphingidae,Lintneria eremitus
Sphingidae,Manduca jasminearum
Sphingidae,Manduca quinquemaculatus
Sphingidae,Manduca sexta
Sphingidae,Pachysphinx modesta
Sphingidae,Paonias excaecata
Sphingidae,Paonias myops
Sphingidae,Paratrea plebeja
Sphingidae,Proserpinus juanita
Sphingidae,Smerinthus cerisyi
Sphingidae,Smerinthus jamaicensis
Sphingidae,Sphecodina abbottii
Sphingidae,Sphinx canadensis
Sphingidae,Sphinx chersis
Sphingidae,Sphinx drupiferarum
Sphingidae,Sphinx franckii
Sphingidae,Sphinx gordius
Sphingidae,Sphinx kalmiae
Sphingidae,Sphinx poecila
Sphingidae,Sphinx vashti
Sphingidae,Xylophanes tersa
Thyrididae,Dysodia oculatana
Thyrididae,Pseudothyris sepulchralis
Thyrididae,Thyris maculata
Tineidae,Acrolophus arcanella
Tineidae,Acrolophus mortipennella
Tineidae,Acrolophus morus
Tineidae,Acrolophus plumifrontella
Tineidae,Acrolophus popeanella
Tineidae,Acrolophus propinquus
Tineidae,Amydria effrentella
Tineidae,Homosetia argentinotella
Tineidae,Homosetia bifasciella
Tineidae,Homosetia costisignella
Tineidae,Homosetia tricingulatella
Tineidae,Homostinea curviliniella
Tineidae,Hybroma servulella
Tineidae,Isocorypha mediostriatella
Tineidae,Kearfottia albifasciella
Tineidae,Monopis crocicapitella
Tineidae,Monopis dorsistrigella
Tineidae,Monopis marginistrigella
Tineidae,Monopis spilotella
Tineidae,Montescardia fuscofasciella
Tineidae,Nemapogon acapnopennella
Tineidae,Nemapogon angulifasciella
Tineidae,Nemapogon auropulvella
Tineidae,Nemapogon granella
Tineidae,Nemapogon interstitiella
Tineidae,Niditinea fuscella
Tineidae,Oenoe hybromella
Tineidae,Philonome clemensella
Tineidae,Scardiella approximatella
Tineidae,Setomorpha rutella
Tineidae,Stenoptinea auriferella
Tineidae,Tinea apicimaculella
Tineidae,Tinea pellionella
Tineidae,Xylesthia pruniramiella
Tischeriidae,Coptotriche purinosella
Tischeriidae,Tischeria quercitella
Tortricidae,Acleris albicomana
Tortricidae,Acleris braunana
Tortricidae,Acleris celiana
Tortricidae,Acleris cervinana
Tortricidae,Acleris chalybeana
Tortricidae,Acleris comariana
Tortricidae,Acleris cornana
Tortricidae,Acleris curvalana
Tortricidae,Acleris flavivittana
Tortricidae,Acleris forbesana
Tortricidae,Acleris forsskaleana
Tortricidae,Acleris fuscana
Tortricidae,Acleris hastiana
Tortricidae,Acleris implexana
Tortricidae,Acleris maccana
Tortricidae,Acleris macdunnoughi
Tortricidae,Acleris maculidorsana
Tortricidae,Acleris minuta
Tortricidae,Acleris negundana
Tortricidae,Acleris nigrolinea
Tortricidae,Acleris nivisellana
Tortricidae,Acleris placidana
Tortricidae,Acleris ptychogrammos
Tortricidae,Acleris robinsoniana
Tortricidae,Acleris schalleriana
Tortricidae,Acleris semiannula
Tortricidae,Acleris semipurpurana
Tortricidae,Acleris subnivana
Tortricidae,Acleris variana
Tortricidae,Adoxophyes furcatana
Tortricidae,Adoxophyes negundana
Tortricidae,Aethes angulatana
Tortricidae,Aethes angustana
Tortricidae,Aethes argentilimitana
Tortricidae,Aethes atomosana
Tortricidae,Aethes baloghi
Tortricidae,Aethes biscana
Tortricidae,Aethes bomonana
Tortricidae,Aethes interruptofasciata
Tortricidae,Aethes louisiana
Tortricidae,Aethes matheri
Tortricidae,Aethes mymara
Tortricidae,Aethes promptana
Tortricidae,Aethes rana
Tortricidae,Aethes razowskii
Tortricidae,Aethes sexdentata
Tortricidae,Aethes spartinana
Tortricidae,Amorbia humerosana
Tortricidae,Ancylis albacostana
Tortricidae,Ancylis apicana
Tortricidae,Ancylis brauni
Tortricidae,Ancylis burgessiana
Tortricidae,Ancylis comptana
Tortricidae,Ancylis diminuatana
Tortricidae,Ancylis discigerana
Tortricidae,Ancylis divisana
Tortricidae,Ancylis goodelliana
Tortricidae,Ancylis laciniana
Tortricidae,Ancylis metamelana
Tortricidae,Ancylis muricana
Tortricidae,Ancylis nubeculana
Tortricidae,Ancylis platanana
Tortricidae,Ancylis semiovana
Tortricidae,Ancylis spiraeifoliana
Tortricidae,Apotomis capreana
Tortricidae,Apotomis deceptana
Tortricidae,Apotomis infida
Tortricidae,Apotomis removana
Tortricidae,Archips argyrospila
Tortricidae,Archips cerasivorana
Tortricidae,Archips fervidana
Tortricidae,Archips grisea
Tortricidae,Archips infumatana
Tortricidae,Archips nigriplagana
Tortricidae,Archips podana
Tortricidae,Archips purpurana
Tortricidae,Archips rileyana
Tortricidae,Archips semiferanus
Tortricidae,Argyrotaenia alisellana
Tortricidae,Argyrotaenia juglandana
Tortricidae,Argyrotaenia mariana
Tortricidae,Argyrotaenia pinatubana
Tortricidae,Argyrotaenia quadrifasciana
Tortricidae,Argyrotaenia quercifoliana
Tortricidae,Argyrotaenia velutinana
Tortricidae,Aterpia approximana
Tortricidae,Atroposia oenotherana
Tortricidae,Bactra furfurana
Tortricidae,Bactra maiorina
Tortricidae,Bactra verutana
Tortricidae,Cacoecimorpha pronubana
Tortricidae,Catastega aceriella
Tortricidae,Catastega timidella
Tortricidae,Celypha cespitana
Tortricidae,Cenopis cana
Tortricidae,Cenopis diluticostana
Tortricidae,Cenopis directana
Tortricidae,Cenopis karacana
Tortricidae,Cenopis mesospila
Tortricidae,Cenopis niveana
Tortricidae,Cenopis pettitana
Tortricidae,Cenopis reticulatana
Tortricidae,Chimoptesis pennsylvaniana
Tortricidae,Choristoneura conflictana
Tortricidae,Choristoneura fractivittana
Tortricidae,Choristoneura fumiferana
Tortricidae,Choristoneura obsoletana
Tortricidae,Choristoneura parallela
Tortricidae,Choristoneura pinus
Tortricidae,Choristoneura rosaceana
Tortricidae,Choristoneura zapulata
Tortricidae,Clepsis clemensiana
Tortricidae,Clepsis listerana
Tortricidae,Clepsis melaleucanus
Tortricidae,Clepsis peritana
Tortricidae,Clepsis persicana
Tortricidae,Clepsis virescana
Tortricidae,Cochylis aurorana
Tortricidae,Cochylis bucera
Tortricidae,Cochylis caulocatax
Tortricidae,Cochylis hoffmanana
Tortricidae,Cochylis hospes
Tortricidae,Cochylis ringsi
Tortricidae,Cochylis temerana
Tortricidae,Cochylis viscana
Tortricidae,Coelostathma discopunctana
Tortricidae,Corticivora clarki
Tortricidae,Cydia albimaculana
Tortricidae,Cydia caryana
Tortricidae,Cydia gallaesaliciana
Tortricidae,Cydia lacustrina
Tortricidae,Cydia latiferreana
Tortricidae,Cydia pomonella
Tortricidae,Cydia toreuta
Tortricidae,Decodes basiplagana
Tortricidae,Dichrorampha bittana
Tortricidae,Dichrorampha incanana
Tortricidae,Dichrorampha leopardana
Tortricidae,Dichrorampha simulana
Tortricidae,Diedra cockerellana
Tortricidae,Ecdytolopha insiticiana
Tortricidae,Ecdytolopha mana
Tortricidae,Endothenia conditana
Tortricidae,Endothenia hebesana
Tortricidae,Endothenia heinrichi
Tortricidae,Endothenia montanana
Tortricidae,Endothenia nubilana
Tortricidae,Epiblema abruptana
Tortricidae,Epiblema benignatum
Tortricidae,Epiblema boxcana
Tortricidae,Epiblema brightonana
Tortricidae,Epiblema carolinana
Tortricidae,Epiblema deflexana
Tortricidae,Epiblema desertana
Tortricidae,Epiblema dorsisuffusana
Tortricidae,Epiblema gibsoni
Tortricidae,Epiblema glenni
Tortricidae,Epiblema infelix
Tortricidae,Epiblema iowana
Tortricidae,Epiblema luctuosissima
Tortricidae,Epiblema numerosana
Tortricidae,Epiblema obfuscana
Tortricidae,Epiblema otiosana
Tortricidae,Epiblema resumptana
Tortricidae,Epiblema scudderiana
Tortricidae,Epiblema strenuana
Tortricidae,Epiblema tandana
Tortricidae,Epiblema tripartitana
Tortricidae,Epiblema walsinghami
Tortricidae,Epinotia celtisana
Tortricidae,Epinotia lindana
Tortricidae,Epinotia madderana
Tortricidae,Epinotia medioviridana
Tortricidae,Episimus argutana
Tortricidae,Episimus tyrius
Tortricidae,Eucopina tocullionana
Tortricidae,Eucosma ambodaidaleia
Tortricidae,Eucosma apacheana
Tortricidae,Eucosma awemeana
Tortricidae,Eucosma bilineana
Tortricidae,Eucosma bipunctella
Tortricidae,Eucosma circulana
Tortricidae,Eucosma clavana
Tortricidae,Eucosma columbiana
Tortricidae,Eucosma essexana
Tortricidae,Eucosma giganteana
Tortricidae,Eucosma glomerana
Tortricidae,Eucosma kiscana
Tortricidae,Eucosma ochrocephala
Tortricidae,Eucosma ochroterminana
Tortricidae,Eucosma olivaceana
Tortricidae,Eucosma ornatula
Tortricidae,Eucosma parmatana
Tortricidae,Eucosma radiatana
Tortricidae,Eucosma raracana
Tortricidae,Eucosma rusticana
Tortricidae,Eucosma sombreana
Tortricidae,Eucosma striatana
Tortricidae,Eucosma tomonana
Tortricidae,Eucosma umbrastriana
Tortricidae,Eucosma verna
Tortricidae,Eugnosta bimaculana
Tortricidae,Eugnosta erigeronana
Tortricidae,Eumarozia malachitana
Tortricidae,Evora hemidesma
Tortricidae,Grapholita angeleseana
Tortricidae,Grapholita delineana
Tortricidae,Grapholita eclipsana
Tortricidae,Grapholita fana
Tortricidae,Grapholita interstinctana
Tortricidae,Grapholita packardi
Tortricidae,Grapholita prunivora
Tortricidae,Grapholita tristrigana
Tortricidae,Gretchena amatana
Tortricidae,Gretchena concitatricana
Tortricidae,Gretchena concubitana
Tortricidae,Gretchena delicatana
Tortricidae,Gretchena deludana
Tortricidae,Gretchena nymphana
Tortricidae,Gretchena watchungana
Tortricidae,Gymnandrosoma punctidiscanum
Tortricidae,Gypsonoma adjuncta
Tortricidae,Gypsonoma fasciolana
Tortricidae,Gypsonoma haimbachiana
Tortricidae,Gypsonoma salicicolana
Tortricidae,Gypsonoma substitutionis
Tortricidae,Hedya chionosema
Tortricidae,Hedya cyanana
Tortricidae,Hedya ochroleucana
Tortricidae,Hedya separatana
Tortricidae,Hystrichophora taleana
Tortricidae,Hystrichophora vestaliana
Tortricidae,Larisa subsolana
Tortricidae,Lobesia carduana
Tortricidae,Notocelia culminana
Tortricidae,Notocelia illotana
Tortricidae,Notocelia rosaecolana
Tortricidae,Olethreutes albiciliana
Tortricidae,Olethreutes astrologana
Tortricidae,Olethreutes atrodentana
Tortricidae,Olethreutes auricapitana
Tortricidae,Olethreutes bipartitana
Tortricidae,Olethreutes comandranum
Tortricidae,Olethreutes concinnana
Tortricidae,Olethreutes connectum
Tortricidae,Olethreutes coruscana
Tortricidae,Olethreutes corylana
Tortricidae,Olethreutes deprecatorius
Tortricidae,Olethreutes exoletum
Tortricidae,Olethreutes fagigemmeana
Tortricidae,Olethreutes fasciatana
Tortricidae,Olethreutes ferriferana
Tortricidae,Olethreutes ferrolineana
Tortricidae,Olethreutes footiana
Tortricidae,Olethreutes fraternanum
Tortricidae,Olethreutes furfuranum
Tortricidae,Olethreutes glaciana
Tortricidae,Olethreutes griseoalbana
Tortricidae,Olethreutes hamameliana
Tortricidae,Olethreutes inornatana
Tortricidae,Olethreutes malana
Tortricidae,Olethreutes melanomesum
Tortricidae,Olethreutes merrickana
Tortricidae,Olethreutes monetiferanum
Tortricidae,Olethreutes mysteriana
Tortricidae,Olethreutes nigranum
Tortricidae,Olethreutes nitidana
Tortricidae,Olethreutes ochrosuffusanum
Tortricidae,Olethreutes olivaceana
Tortricidae,Olethreutes osmundana
Tortricidae,Olethreutes permundana
Tortricidae,Olethreutes punctanum
Tortricidae,Olethreutes quadrifidum
Tortricidae,Olethreutes submissanum
Tortricidae,Olethreutes tilianum
Tortricidae,Olethreutes trinitana
Tortricidae,Olethreutes valdanum
Tortricidae,Olethreutes viburnanum
Tortricidae,Orthotaenia undulana
Tortricidae,Pammene felicitana
Tortricidae,Pandemis canadana
Tortricidae,Pandemis lamprosana
Tortricidae,Pandemis limitata
Tortricidae,Paralobesia liriodendrana
Tortricidae,Paralobesia palliolana
Tortricidae,Paralobesia spiraeifoliana
Tortricidae,Paralobesia vernoniana
